scope,scope_value,field,obs_col,spatial_buffer_km,percentile,threshold,threshold_source,tp,fp,tn,fn,POD,FAR,CSI,HSS,objective_metric
by_date,2021-04-29,max_hdr_size,sig_severe_obs,0.0,27.0,15.984023466110237,percentile,8,9,5,2,0.8,0.5294117647058824,0.42105263157894735,0.14285714285714285,HSS
by_date,2021-04-29,max_hsda,severe_obs,0.0,,2.0,hsda_class,8,0,0,11,0.42105263157894735,0.0,0.42105263157894735,0.0,HSS
by_date,2021-04-29,max_hsda,sig_severe_obs,0.0,,3.0,hsda_class,4,3,8,4,0.5,0.42857142857142855,0.36363636363636365,0.23121387283236994,HSS
by_date,2021-04-29,max_mesh_75_mh19,severe_obs,0.0,5.0,0.7898517686011228,percentile,22,0,0,2,0.9166666666666666,0.0,0.9166666666666666,0.0,HSS
by_date,2021-04-29,max_mesh_75_mh19,sig_severe_obs,0.0,70.0,41.86271668890786,percentile,5,2,12,5,0.5,0.2857142857142857,0.4166666666666667,0.373134328358209,HSS
by_date,2023-04-19,max_reflectivity,severe_obs,0.0,21.0,55.01765293121338,percentile,118,8,8,26,0.8194444444444444,0.06349206349206349,0.7763157894736842,0.21296296296296297,HSS
by_date,2023-04-19,max_reflectivity,sig_severe_obs,0.0,60.0,59.32242431640625,percentile,15,49,85,11,0.5769230769230769,0.765625,0.2,0.1329479768786127,HSS
by_date,2023-04-19,max_hdr_size,severe_obs,0.0,11.0,18.220971965789794,percentile,132,10,6,12,0.9166666666666666,0.07042253521126761,0.8571428571428571,0.27631578947368424,HSS
by_date,2023-04-19,max_hdr_size,sig_severe_obs,0.0,51.0,24.78252452850342,percentile,17,61,73,9,0.6538461538461539,0.782051282051282,0.19540229885057472,0.10998092816274635,HSS
by_date,2023-04-19,max_hsda,severe_obs,0.0,,2.0,hsda_class,34,1,15,108,0.23943661971830985,0.02857142857142857,0.23776223776223776,0.04460224120714523,HSS
by_date,2023-04-19,max_hsda,sig_severe_obs,0.0,,3.0,hsda_class,4,9,123,22,0.15384615384615385,0.6923076923076923,0.11428571428571428,0.1071819176084579,HSS
by_date,2023-04-19,max_mesh_75_mh19,severe_obs,0.0,33.0,31.0537842692601,percentile,99,8,8,45,0.6875,0.07476635514018691,0.6513157894736842,0.09246575342465753,HSS
by_date,2023-04-19,max_mesh_75_mh19,sig_severe_obs,0.0,74.0,38.19192288718052,percentile,14,28,106,12,0.5384615384615384,0.6666666666666666,0.25925925925925924,0.2640294388224471,HSS
by_date,2023-04-20,max_reflectivity,severe_obs,0.0,29.0,56.516268196105955,percentile,46,3,4,17,0.7301587301587301,0.061224489795918366,0.696969696969697,0.15966386554621848,HSS
by_date,2023-04-20,max_reflectivity,sig_severe_obs,0.0,1.0,47.0110005569458,percentile,22,47,1,0,1.0,0.6811594202898551,0.3188405797101449,0.013197360527894421,HSS
by_date,2023-04-20,max_hdr_size,severe_obs,0.0,21.0,18.658066902160645,percentile,53,2,5,10,0.8412698412698413,0.03636363636363636,0.8153846153846154,0.3684210526315789,HSS
by_date,2023-04-20,max_hdr_size,sig_severe_obs,0.0,28.0,20.277452774047852,percentile,17,33,15,5,0.7727272727272727,0.66,0.3090909090909091,0.06338028169014084,HSS
by_date,2023-04-20,max_hsda,severe_obs,0.0,,2.0,hsda_class,18,1,6,43,0.29508196721311475,0.05263157894736842,0.2903225806451613,0.04163997437540039,HSS
by_date,2023-04-20,max_hsda,sig_severe_obs,0.0,,3.0,hsda_class,0,7,39,22,0.0,1.0,0.0,-0.18509615384615385,HSS
by_date,2023-04-20,max_mesh_75_mh19,severe_obs,0.0,19.0,26.099718426954315,percentile,54,2,5,9,0.8571428571428571,0.03571428571428571,0.8307692307692308,0.3956043956043956,HSS
by_date,2023-04-20,max_mesh_75_mh19,sig_severe_obs,0.0,14.0,24.809357845504845,percentile,21,39,9,1,0.9545454545454546,0.65,0.3442622950819672,0.0967741935483871,HSS
by_date,2023-06-15,max_reflectivity,severe_obs,0.0,19.0,59.34737533569336,percentile,37,2,2,8,0.8222222222222222,0.05128205128205128,0.7872340425531915,0.19141914191419143,HSS
by_date,2023-06-15,max_reflectivity,sig_severe_obs,0.0,42.0,62.98416442871094,percentile,12,16,19,2,0.8571428571428571,0.5714285714285714,0.4,0.3076923076923077,HSS
by_date,2023-06-15,max_hdr_size,severe_obs,0.0,11.0,25.460769271850587,percentile,41,2,2,4,0.9111111111111111,0.046511627906976744,0.8723404255319149,0.334841628959276,HSS
by_date,2023-06-15,max_hdr_size,sig_severe_obs,0.0,40.0,33.66007995605469,percentile,13,16,19,1,0.9285714285714286,0.5517241379310345,0.43333333333333335,0.3567567567567568,HSS
by_date,2023-06-15,max_hsda,severe_obs,0.0,,2.0,hsda_class,38,3,1,7,0.8444444444444444,0.07317073170731707,0.7916666666666666,0.0648854961832061,HSS
by_date,2023-06-15,max_hsda,sig_severe_obs,0.0,,3.0,hsda_class,14,22,13,0,1.0,0.6111111111111112,0.3888888888888889,0.2524271844660194,HSS
by_date,2023-06-15,max_mesh_75_mh19,severe_obs,0.0,3.0,29.8601687244222,percentile,44,3,1,1,0.9777777777777777,0.06382978723404255,0.9166666666666666,0.2949640287769784,HSS
by_date,2023-06-15,max_mesh_75_mh19,sig_severe_obs,0.0,36.0,45.204068213335894,percentile,14,17,18,0,1.0,0.5483870967741935,0.45161290322580644,0.3769633507853403,HSS
by_date,2023-06-16,max_reflectivity,severe_obs,0.0,28.0,60.234772186279294,percentile,27,0,2,9,0.75,0.0,0.75,0.24,HSS
by_date,2023-06-16,max_reflectivity,sig_severe_obs,0.0,55.0,62.010886383056636,percentile,5,12,20,1,0.8333333333333334,0.7058823529411765,0.2777777777777778,0.2626865671641791,HSS
